Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,18912.44,0.667702522277832,Berlin_1_256
200,PIBT,1.0,38739.64,1.2641679382324218,Berlin_1_256
300,PIBT,0.9615384615384616,59507.92,1.8421580028533933,Berlin_1_256
400,PIBT,1.0,81054.44,2.480870447158813,Berlin_1_256
500,PIBT,0.96,103016.25,3.20020925005277,Berlin_1_256
600,PIBT,1.0,125759.6,3.842784404754639,Berlin_1_256
700,PIBT,1.0,149522.92,4.530096015930176,Berlin_1_256
800,PIBT,0.96,173327.20833333334,5.188361684481303,Berlin_1_256
900,PIBT,1.0,197473.96,5.796137895584106,Berlin_1_256
1000,PIBT,0.96,222362.2083333333,6.453784207503001,Berlin_1_256
