Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,20353.16,0.7109777545928955,Boston_0_256
200,PIBT,1.0,42173.24,1.3073972797393798,Boston_0_256
300,PIBT,1.0,65318.6,2.078624610900879,Boston_0_256
400,PIBT,1.0,89312.11111111111,2.782797522015042,Boston_0_256
500,PIBT,0.9615384615384616,113780.76,3.5144701862335204,Boston_0_256
600,PIBT,1.0,139223.6,4.278666200637818,Boston_0_256
700,PIBT,1.0,164762.0,4.940535478591919,Boston_0_256
800,PIBT,1.0,191199.0,5.590606479644776,Boston_0_256
900,PIBT,0.96,218245.41666666663,6.359649310509364,Boston_0_256
1000,PIBT,1.0,245081.72,6.97758996963501,Boston_0_256
