Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,20088.88,0.7489106369018554,Paris_1_256
200,PIBT,1.0,41602.68,1.519759521484375,Paris_1_256
300,PIBT,1.0,63931.4,2.2030231761932373,Paris_1_256
400,PIBT,1.0,87975.76,2.991538019180298,Paris_1_256
500,PIBT,1.0,112035.4,3.771989870071411,Paris_1_256
600,PIBT,1.0,136578.52,4.509509801864624,Paris_1_256
700,PIBT,1.0,161749.92,5.238072490692138,Paris_1_256
800,PIBT,1.0,187023.36,6.069044351577759,Paris_1_256
900,PIBT,1.0,212719.44,6.736807928085328,Paris_1_256
1000,PIBT,1.0,239254.76,7.389448146820069,Paris_1_256
