Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,6901.04,0.2855222511291504,den312d
200,PIBT,0.88,16164.681818181818,0.4083584980531172,den312d
300,PIBT,0.84,28755.0,0.6835175695873442,den312d
400,PIBT,0.72,47695.11111111111,1.1589304606119792,den312d
500,PIBT,0.4,73276.3,1.8809885501861567,den312d
600,PIBT,0.28,111207.14285714286,3.116618394851685,den312d
700,PIBT,0.32,149721.625,4.675045847892761,den312d
800,PIBT,0.04,200978.0,33.00274038314819,den312d
900,PIBT,0.0,,,den312d
1000,PIBT,0.0,,,den312d
