Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,3699.28,0.1132479667663573,empty_48_48
200,PIBT,1.0,8282.72,0.2308416748046874,empty_48_48
300,PIBT,1.0,13403.76,0.3629827213287353,empty_48_48
400,PIBT,1.0,19045.6,0.4915566444396972,empty_48_48
500,PIBT,1.0,24929.48,0.6276551532745361,empty_48_48
600,PIBT,1.0,31485.56,0.7519089984893799,empty_48_48
700,PIBT,1.0,38818.8,0.8980134105682374,empty_48_48
800,PIBT,1.0,47060.6,1.0792556285858157,empty_48_48
900,PIBT,1.0,56398.88,1.8414769744873047,empty_48_48
1000,PIBT,0.96,66993.16666666667,3.699154138565064,empty_48_48
