Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,10842.08,0.2958529090881348,ht_chantry
200,PIBT,0.96,23505.95833333333,0.5695563157399496,ht_chantry
300,PIBT,0.96,37627.083333333336,0.8571826616923014,ht_chantry
400,PIBT,0.96,53491.66666666666,1.2434690694014232,ht_chantry
500,PIBT,0.88,71612.81818181818,1.6890277645804666,ht_chantry
600,PIBT,0.92,91577.04347826086,2.1446382377458657,ht_chantry
700,PIBT,0.96,113922.95833333331,2.5978926718235016,ht_chantry
800,PIBT,0.9230769230769232,139232.83333333334,4.1563806136449175,ht_chantry
900,PIBT,0.56,165819.14285714287,4.185003297669547,ht_chantry
1000,PIBT,0.56,196145.7857142857,13.34176676613944,ht_chantry
