Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,11582.16,0.3476387596130371,ht_mansion_n
200,PIBT,0.96,24834.625,0.7731549739837646,ht_mansion_n
300,PIBT,0.96,39917.0,1.1856353680292766,ht_mansion_n
400,PIBT,0.96,58079.5,1.602027267217636,ht_mansion_n
500,PIBT,0.9230769230769232,81212.75,2.1083760460217795,ht_mansion_n
600,PIBT,0.896551724137931,108457.6153846154,3.01662029669835,ht_mansion_n
700,PIBT,0.8076923076923077,140956.42857142858,3.802391983213879,ht_mansion_n
800,PIBT,0.84,174328.85714285713,4.899189074834188,ht_mansion_n
900,PIBT,0.68,213288.4705882353,5.791522362652947,ht_mansion_n
1000,PIBT,0.68,255738.0,7.0478115642772,ht_mansion_n
