Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,21194.32,0.7920033931732178,lak303d
200,PIBT,1.0,45270.28,1.4270769596099853,lak303d
300,PIBT,1.0,71849.44,2.1454854011535645,lak303d
400,PIBT,0.92,98952.73913043478,2.91894157036491,lak303d
500,PIBT,0.92,129022.95652173914,3.654207188150157,lak303d
600,PIBT,0.88,161697.36363636365,4.450986049392006,lak303d
700,PIBT,0.84,195271.9047619048,5.22061350232079,lak303d
800,PIBT,0.88,237540.54545454544,6.161170580170372,lak303d
900,PIBT,0.7307692307692307,285467.8947368421,7.278230980822914,lak303d
1000,PIBT,0.68,343405.4705882353,8.604741110521203,lak303d
