Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,0.92,70328.04347826086,2.142532027286032,maze_128_128_2
200,PIBT,0.8,152136.1,4.466791415214539,maze_128_128_2
300,PIBT,0.6153846153846154,240926.0,6.697977140545845,maze_128_128_2
400,PIBT,0.4615384615384615,331551.1666666667,8.982539375623068,maze_128_128_2
500,PIBT,0.36,431425.1111111111,11.49295481046041,maze_128_128_2
600,PIBT,0.24,531834.1666666666,14.154114802678428,maze_128_128_2
700,PIBT,0.32,638595.75,16.197840929031372,maze_128_128_2
800,PIBT,0.1538461538461538,750400.0,18.80989104509354,maze_128_128_2
900,PIBT,0.08,861271.0,22.104975938797,maze_128_128_2
1000,PIBT,0.0,,,maze_128_128_2
