Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,17207.24,0.5624482059478759,ost003d
200,PIBT,0.96,36844.29166666666,1.1713311274846394,ost003d
300,PIBT,1.0,58306.03846153846,1.7520165076622596,ost003d
400,PIBT,1.0,80348.08,2.305438423156738,ost003d
500,PIBT,0.92,104296.73913043478,2.920723697413569,ost003d
600,PIBT,0.8846153846153846,130515.52173913045,3.466500655464504,ost003d
700,PIBT,0.9230769230769232,159266.5,4.234576195478439,ost003d
800,PIBT,0.76,195222.84210526315,5.0983237592797535,ost003d
900,PIBT,0.88,235674.0909090909,6.10603771426461,ost003d
1000,PIBT,0.8,281944.65,7.328863477706909,ost003d
