Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,0.96,4967.958333333333,0.1547686060269673,random_64_64_10
200,PIBT,1.0,10705.68,0.290290880203247,random_64_64_10
300,PIBT,0.92,17177.565217391304,0.4547874305559241,random_64_64_10
400,PIBT,0.84,24127.14285714286,0.6010737419128418,random_64_64_10
500,PIBT,0.84,31651.42857142857,0.8201638743990943,random_64_64_10
600,PIBT,0.76,39569.68421052631,0.9938231016460218,random_64_64_10
700,PIBT,0.64,47794.0625,1.138427972793579,random_64_64_10
800,PIBT,0.64,57110.5,1.3408915102481842,random_64_64_10
900,PIBT,0.56,67131.78571428571,1.5596039976392473,random_64_64_10
1000,PIBT,0.36,78138.55555555556,1.738879336251153,random_64_64_10
