Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,7497.28,0.2134017086029052,room_64_64_8
200,PIBT,1.0,18410.96,0.4742750453948974,room_64_64_8
300,PIBT,0.96,34139.625,0.9901814659436544,room_64_64_8
400,PIBT,0.9230769230769232,55783.208333333336,5.1175951560338335,room_64_64_8
500,PIBT,0.8,85083.15,14.634831583499908,room_64_64_8
600,PIBT,0.5384615384615384,121306.92857142857,10.632901004382544,room_64_64_8
700,PIBT,0.32,162902.0,23.12388908863068,room_64_64_8
800,PIBT,0.08,213513.5,21.716877698898315,room_64_64_8
900,PIBT,0.0,,,room_64_64_8
1000,PIBT,0.0,,,room_64_64_8
